# TMGC 한글패치 확정 용어집 (authoritative). 모든 파일 번역 시 이 표기로 통일할 것.
# 표기 규칙: -arque=아르케(Marque 마르케·Parque 파르케·Starque 스타르케·Clarque 클라르케),
#   Opist-=오피스-, Dalst-=달스트-, Yg'str-=이그스트르-, 게르만계는 원음(Josef 요제프 등).
# type	english	korean
# ---- 플레이어블/주요 인물 ----
name	Blair	블레어
name	Arin	아린
name	Kenneth	케네스
name	Natasia	나타시아
name	Stefan	스테판
name	Desmond	데스몬드
name	Sam	샘
name	Josef	요제프
name	Peggy	페기
name	Butch	부치
name	Cassius	카시우스
name	Rachael	레이철
name	Emile	에밀
name	Jeff	제프
name	Apollo	아폴로
name	Bechamel	베샤멜
name	Sveltzalus	스벨트잘루스
name	Hilbert	힐베르트
name	Flynn	플린
name	Mikey	마이키
name	Carbon	카본
name	Athena	아테나
name	Charley	찰리
name	Zeke	지크
name	Hyperius	히페리우스
name	Alexis	알렉시스
name	Leila	레일라
name	Damien	데이미언
name	Avan	아반
name	Toddsworth	토즈워스
name	Artemis	아르테미스
name	Hollandaise	홀랑데즈
name	Vladmir	블라디미르
name	Horatio	호레이쇼
name	Simone	시몬
name	Ptolemy	톨레미
name	Johan	요한
name	Peter	피터
name	Sonia	소니아
name	Joan	조앤
name	Tobias	토비아스
name	Ian	이안
name	Olsen	올센
name	Elcorian	엘코리안
name	Viridian	비리디언
name	Freddric	프레드릭
name	Dean	딘
name	Eliza	엘리자
name	Chartreuse	샤르트뢰즈
name	Rift	리프트
name	Estelle	에스텔
name	Rose	로즈
name	Dirk	더크
name	Callum	칼럼
name	Manfred	만프레트
name	Wilhelm	빌헬름
name	Argent	아르젠트
name	Addington	애딩턴
name	Yuyu	유유
name	Agnes	아그네스
name	Gaylord	게일로드
name	Kyrie	키리에
# ---- 보스/NPC ----
name	Davelarn	데이블란
name	Marque	마르케
name	Brentson	브렌트슨
name	Helga	헬가
name	Lazarus	라자루스
name	Starque	스타르케
name	Mitchell	미첼
name	Amundsen	아문센
name	Brandl	브란들
name	Zaine	제인
name	Cid	시드
name	Esme	에스메
name	Pete	피트
name	Gregorias	그레고리아스
name	Jonas	요나스
name	Sofia	소피아
name	Laronde	라론드
name	Amara	아마라
name	Valden	발덴
name	Briant	브라이언트
name	Roark	로크
name	Vulture	벌처
name	Parque	파르케
name	Nicole	니콜
name	Edward	에드워드
name	Eddie	에디
name	Eduardo	에두아르도
name	Bungalas	붕갈라스
name	Michael	마이클
name	Clarque	클라르케
name	Reynard	레이너드
name	Nathaniel	나다니엘
name	Larson	라슨
name	Fiora	피오라
name	Mason	메이슨
name	Liam	리엄
name	Tarquin	타르퀸
name	Ethyl	에틸
name	Girard	지라르
name	Blader	블레이더
name	Bobert	보버트
name	Valeria	발레리아
name	Victor	빅토르
name	Tonnamin	톤나민
name	Sinclair	싱클레어
name	Elba Cor	엘바 코르
name	Holstadt	홀슈타트
name	Toddington	토딩턴
name	Lirel	리렐
# ---- 지명·세력·국가 ----
place	Ulmaron	울마론
place	Dalstian	달스티안
place	Dalst	달스트
place	Yg'stran	이그스트란
place	Yg'stra	이그스트라
place	Kionius	키오니우스
place	Opistinia	오피스티니아
place	Opistia	오피스티아
place	Opistus	오피스투스
place	Opistian	오피스티안
place	Couria	쿠리아
place	Corian	코리안
place	Arbordia	아르보르디아
place	Arbordian	아르보르디안
place	Holanis	홀라니스
place	Holanian	홀라니안
place	Gohranos	고라노스
place	Mevion	메비온
place	Mevionese	메비오네즈
place	Aercolyn	에어콜린
place	Moneubris	모뉴브리스
place	Ineubris	이뉴브리스
place	Ineubrenos	이뉴브레노스
place	Ciraweiss	시라바이스
place	Neillstrom	닐스트롬
place	Zeimstadt	차임슈타트
place	Barford	바퍼드
place	Jraeyan	즈레이안
place	Loile	로일
place	Tradewinds	트레이드윈즈
place	Barrens	배런스
place	Lowlands	저지대
place	Zorya	조랴
