# type	english	korean(fill in)	sources
name	Addington		UnitNames.txt
name	Agnes		UnitNames.txt
name	Alexis		UnitNames.txt
name	Amara		Bosses.txt
name	Amundsen		Bosses.txt
name	Apollo		UnitNames.txt
name	Argent		UnitNames.txt
name	Arin		UnitNames.txt
name	Artemis		UnitNames.txt
name	Athena		UnitNames.txt
name	Avan		UnitNames.txt
name	Bechamel		UnitNames.txt
name	Blader		Bosses.txt
name	Blair		UnitNames.txt
name	Bobert		Bosses.txt
name	Brandl		Bosses.txt
name	Brentson		Bosses.txt
name	Briant		Bosses.txt
name	Bungalas		Bosses.txt
name	Butch		UnitNames.txt
name	Callum		UnitNames.txt
name	Carbon		UnitNames.txt
name	Cassius		UnitNames.txt
name	Charley		UnitNames.txt
name	Chartreuse		UnitNames.txt
name	Cid		Bosses.txt
name	Clarque		Bosses.txt
name	Damien		UnitNames.txt
name	Davelarn		Bosses.txt
name	Dean		UnitNames.txt
name	Desmond		UnitNames.txt
name	Dirk		UnitNames.txt
name	Eddie		Bosses.txt
name	Eduardo		Bosses.txt
name	Edward		Bosses.txt
name	Elcorian		UnitNames.txt
name	Eliza		UnitNames.txt
name	Emile		UnitNames.txt
name	Esme		Bosses.txt
name	Estelle		UnitNames.txt
name	Ethyl		Bosses.txt
name	Fiora		Bosses.txt
name	Flynn		UnitNames.txt
name	Freddric		UnitNames.txt
name	Gaylord		UnitNames.txt
name	Girard		Bosses.txt
name	Gregorias		Bosses.txt
name	Helga		Bosses.txt
name	Hilbert		UnitNames.txt
name	Hollandaise		UnitNames.txt
name	Horatio		UnitNames.txt
name	Hyperius		UnitNames.txt
name	Ian		UnitNames.txt
name	Jeff		UnitNames.txt
name	Joan		UnitNames.txt
name	Johan		UnitNames.txt
name	Jonas		Bosses.txt
name	Josef		UnitNames.txt
name	Kenneth		UnitNames.txt
name	Kyrie		UnitNames.txt
name	Laronde		Bosses.txt
name	Larson		Bosses.txt
name	Lazarus		Bosses.txt
name	Leila		UnitNames.txt
name	Liam		Bosses.txt
name	Manfred		UnitNames.txt
name	Marque		Bosses.txt
name	Mason		Bosses.txt
name	Michael		Bosses.txt
name	Mikey		UnitNames.txt
name	Mitchell		Bosses.txt
name	Natasia		UnitNames.txt
name	Nathaniel		Bosses.txt
